,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
26,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.79,44.85,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.04,-0.04,3.68,3.73
27,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.35,-0.35,2.39,2.74
28,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.56,46.04,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.05,-0.05,3.65,3.7
29,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,24.33,0.24,54.44,15.72,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.48,-0.48,2.51,2.99
30,Chemical synthesis usnig dimethyl-octadecyl-ammonium chloride,lab,MIC,water,none,none,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.47,21.03,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.29,-0.29,1.69,1.98
31,Green synthesis using Arthrospira platensis,lab,MIC,ethanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.44,1.25,5.82,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.41,0.41,2.43,2.02
32,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,142.61,1.43,281.59,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.1,0.1,0.81,0.72
33,green_synthesis using Acacia arabica leaf extract,lab,MIC,water,none,none,rod-shaped,phenolic,81.389,4.082482905,weak,bio,0,8,1,1,-0.1213,0.423376623,2.423376623,1,0.8,0.01,1.79,17.9,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.19,-0.19,3.44,3.63
34,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.58,28.69,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.52,0.52,2.73,2.21
35,Green synthesis using Sambucus ebulus,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.74,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.37,-0.37,2.54,2.92
