,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
4767,Green synthesis using Sambucus ebulus,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.73,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.25,-0.25,3.14,3.39
4768,Green synthesis using onion peel,lab,MIC,water,none,none,spherical,phenolic,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,283.87,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.4,0.4,1.62,1.23
4769,Green synthesis using Origanum ehrenbergii,lab,MIC,water,none,none,pseudo-spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,147.56,1.48,257.12,30.13,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.49,-0.49,1.08,1.57
4770,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.27,1.33,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.17,-0.17,3.11,3.28
4771,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,116.03,198.07,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.57,0.57,2.01,1.45
4772,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,89.75,217.78,6.15,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.26,0.26,2.81,2.54
4773,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,96.16,31.7,176.74,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.78,0.78,2.35,1.58
4774,green_synthesis,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,135.76,183.27,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.46,0.46,3.43,2.98
4775,Eco-benign synthesis using Quercus coccifera L.,lab,MIC,water,none,none,spherical,,107.868,1.78376517,weak,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,330.66,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.35,0.35,2.06,1.71
4776,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,147.85,146.37,148.96,28.41,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.06,-0.06,3.66,3.72
4777,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,99.4,0.99,173.21,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.38,0.38,1.95,1.57
