,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
67,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,283.87,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.88,-0.88,0.45,1.33
68,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.79,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.85,-0.85,2.54,3.39
69,Green synthesis using Petroselinum crispum,lab,MIC,methanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.36,1.13,12.48,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.52,-0.52,3.51,4.03
70,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.1,1.33,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.41,-0.41,1.76,2.17
71,Green synthesis using Aloe vera,lab,MIC,water,none,none,hexagonal,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.77,0.82,30.96,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.95,-0.95,3.34,4.29
72,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,21.85,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.32,-0.32,2.23,2.55
73,Biosynthesis using bacterial isolate NMS-1 (Bacillus subtilis),lab,MIC,water,none,none,cubic,protein,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.29,1.26,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-1.73,-1.73,3.49,5.22
74,Green synthesis using Suaeda maritima,lab,MIC,methanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.95,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.12,0.12,4.81,4.69
75,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,132.75,1.33,297.02,11.1,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.26,-0.26,1.02,1.27
76,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.58,14.25,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.85,-0.85,2.64,3.49
77,Biosynthesis of AgNPs from S. xinghaiensis OF1 strain,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.13,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.03,-0.03,3.57,3.6
78,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.95,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.12,0.12,1.66,1.54
79,Green synthesis using Lactobacillus paracasei,lab,MIC,dpph,none,none,spherical,protein,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,71.27,2.61,132.34,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.12,-0.12,1.59,1.71
80,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.77,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.85,-0.85,2.54,3.39
81,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,43.03,0.43,90.13,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.32,0.32,1.42,1.1
82,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.55,1.11,19.55,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.94,-0.94,2.67,3.61
83,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.89,-0.89,2.39,3.28
84,Green synthesis using Agrimonia eupatoria L.,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,141.09,1.41,245.85,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.04,-0.04,1.26,1.3
85,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.34,1.38,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-1.47,-1.47,3.65,5.12
86,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.89,-0.89,2.39,3.28
87,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.79,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.85,-0.85,2.54,3.39
